"Date","Price","Open","High","Low","Change %"
"Feb 22, 2022","7.082","7.072","7.082","7.054","0.45%"
"Feb 21, 2022","7.050","7.050","7.050","7.050","0.14%"
"Feb 18, 2022","7.040","7.039","7.040","7.039","-0.44%"
"Feb 17, 2022","7.071","7.102","7.102","7.071","0.97%"
"Feb 16, 2022","7.003","7.003","7.003","7.003","0.19%"
"Feb 15, 2022","6.990","6.990","6.990","6.990","0.42%"
"Feb 14, 2022","6.961","6.961","6.961","6.961","-0.67%"
"Feb 11, 2022","7.008","7.008","7.008","7.008","-0.72%"
"Feb 10, 2022","7.059","7.059","7.059","7.059","-1.15%"
"Feb 09, 2022","7.141","7.141","7.141","7.141","-0.20%"
"Feb 08, 2022","7.155","7.155","7.155","7.155","-1.35%"
"Feb 04, 2022","7.253","7.253","7.253","7.253","-0.73%"
"Feb 03, 2022","7.306","7.306","7.306","7.306","0.10%"
"Feb 02, 2022","7.299","7.299","7.299","7.299","0.83%"
"Feb 01, 2022","7.239","7.239","7.239","7.239","2.38%"
"Jan 31, 2022","7.071","7.071","7.071","7.071","-1.17%"
"Jan 28, 2022","7.155","7.155","7.155","7.155","0.03%"
"Jan 27, 2022","7.153","7.153","7.153","7.153","1.09%"
"Jan 25, 2022","7.076","7.076","7.076","7.076","-0.01%"
"Jan 24, 2022","7.077","7.077","7.077","7.077","0.40%"
"Jan 21, 2022","7.049","7.049","7.049","7.049","0.03%"
"Jan 20, 2022","7.047","7.047","7.047","7.047","0.17%"
"Jan 19, 2022","7.035","7.035","7.035","7.035","-0.16%"
"Jan 18, 2022","7.046","7.046","7.046","7.046","-0.10%"
"Jan 17, 2022","7.053","7.053","7.053","7.053","0.76%"
"Jan 14, 2022","7.000","7.000","7.000","7.000","0.17%"
"Jan 13, 2022","6.988","6.988","6.988","6.988","-0.50%"
"Jan 12, 2022","7.023","7.023","7.023","7.023","0.31%"
"Jan 11, 2022","7.001","7.001","7.001","7.001","-0.20%"
"Jan 10, 2022","7.015","7.015","7.015","7.015","0.53%"
"Jan 07, 2022","6.978","6.978","6.978","6.978","0.11%"
"Jan 06, 2022","6.970","6.970","6.970","6.970","0.32%"
"Jan 05, 2022","6.948","6.948","6.948","6.948","0.00%"
"Jan 04, 2022","6.948","6.948","6.948","6.948","0.87%"
"Jan 03, 2022","6.888","6.888","6.888","6.888","0.10%"
"Dec 31, 2021","6.881","6.881","6.881","6.881","-0.16%"
"Dec 30, 2021","6.892","6.892","6.892","6.892","0.19%"
"Dec 29, 2021","6.879","6.879","6.879","6.879","-0.30%"
"Dec 28, 2021","6.900","6.900","6.900","6.900","0.22%"
"Dec 27, 2021","6.885","6.885","6.885","6.885","-0.01%"
"Dec 24, 2021","6.886","6.886","6.886","6.886","0.23%"
"Dec 23, 2021","6.870","6.870","6.870","6.870","0.20%"
"Dec 22, 2021","6.856","6.856","6.856","6.856","0.25%"
"Dec 21, 2021","6.839","6.839","6.839","6.839","0.35%"
"Dec 20, 2021","6.815","6.815","6.815","6.815","0.83%"
"Dec 17, 2021","6.759","6.769","6.804","6.759","0.07%"
"Dec 16, 2021","6.754","6.760","6.770","6.754","0.06%"
"Dec 15, 2021","6.750","6.795","6.795","6.750","-0.07%"
"Dec 14, 2021","6.755","6.755","6.755","6.755","-0.18%"
"Dec 13, 2021","6.767","6.767","6.767","6.767","0.13%"
"Dec 10, 2021","6.758","6.769","6.824","6.758","0.21%"
"Dec 09, 2021","6.744","6.744","6.744","6.744","0.00%"
"Dec 08, 2021","6.744","6.744","6.744","6.744","-0.37%"
"Dec 07, 2021","6.769","6.769","6.769","6.769","0.31%"
"Dec 06, 2021","6.748","6.748","6.748","6.748","-0.07%"
"Dec 03, 2021","6.753","6.753","6.753","6.753","0.15%"
"Dec 02, 2021","6.743","6.743","6.743","6.743","-0.07%"
"Dec 01, 2021","6.748","6.748","6.748","6.748","-0.04%"
"Nov 30, 2021","6.751","6.751","6.751","6.751","-0.06%"
"Nov 29, 2021","6.755","6.755","6.755","6.755","0.03%"
"Nov 26, 2021","6.753","6.753","6.753","6.753","-0.41%"
"Nov 25, 2021","6.781","6.848","6.848","6.781","0.19%"
"Nov 24, 2021","6.768","6.788","6.788","6.768","0.00%"
"Nov 23, 2021","6.768","6.788","6.788","6.768","0.00%"
"Nov 22, 2021","6.768","6.779","6.779","6.768","-0.01%"
"Nov 18, 2021","6.769","6.779","6.779","6.769","-0.19%"
"Nov 17, 2021","6.782","6.790","6.790","6.782","0.00%"
"Nov 16, 2021","6.782","6.785","6.785","6.782","-0.01%"
"Nov 15, 2021","6.783","6.783","6.783","6.783","-0.40%"
"Nov 12, 2021","6.810","6.810","6.810","6.810","-0.10%"
"Nov 11, 2021","6.817","6.817","6.817","6.817","0.69%"
"Nov 10, 2021","6.770","6.770","6.770","6.770","0.10%"
"Nov 09, 2021","6.763","6.763","6.763","6.763","-0.54%"
"Nov 08, 2021","6.800","6.825","6.825","6.800","-0.51%"
"Nov 03, 2021","6.835","6.845","6.855","6.835","0.01%"
"Nov 02, 2021","6.834","6.879","6.879","6.834","-0.20%"
"Nov 01, 2021","6.848","6.848","6.848","6.848","-0.13%"
"Oct 29, 2021","6.857","6.857","6.857","6.857","0.47%"
"Oct 28, 2021","6.825","6.825","6.825","6.825","-0.23%"
"Oct 27, 2021","6.841","6.841","6.841","6.841","-0.47%"
"Oct 26, 2021","6.873","6.873","6.873","6.873","0.01%"
"Oct 25, 2021","6.872","6.872","6.872","6.872","-0.16%"
"Oct 22, 2021","6.883","6.883","6.883","6.883","0.25%"
"Oct 21, 2021","6.866","6.866","6.866","6.866","-0.46%"
"Oct 20, 2021","6.898","6.898","6.898","6.898","-0.19%"
"Oct 18, 2021","6.911","6.911","6.911","6.911","1.05%"
"Oct 14, 2021","6.839","6.839","6.839","6.839","-0.09%"
"Oct 13, 2021","6.845","6.845","6.845","6.845","-0.32%"
"Oct 12, 2021","6.867","6.867","6.867","6.867","-0.20%"
"Oct 11, 2021","6.881","6.881","6.881","6.881","0.26%"
"Oct 08, 2021","6.863","6.863","6.863","6.863","0.63%"
"Oct 07, 2021","6.820","6.820","6.820","6.820","-0.10%"
"Oct 06, 2021","6.827","6.827","6.827","6.827","0.34%"
"Oct 05, 2021","6.804","6.804","6.804","6.804","0.09%"
"Oct 04, 2021","6.798","6.798","6.798","6.798","0.21%"
"Oct 01, 2021","6.784","6.784","6.784","6.784","0.56%"
